Course Code;Course name;Type;Link Download
COMP6178;IntroductiontoProgramming;TM1;https://drive.google.com/file/d/1GjLO8IYPUSBEd4oPRbbdr_kgQbS4nA0O/view?usp=sharing
COMP6178;IntroductiontoProgramming;TM2;https://drive.google.com/file/d/1ZsX5LqhbB2eKRwwoNYNFSdvtnqRLA_jz/view?usp=sharing
COMP6178;IntroductiontoProgramming;UAP;https://drive.google.com/file/d/11j26rlZV5mvCgEkSkWotGX0GDNoKeX1v/view?usp=sharing
COMP6268;Algorithm&Programming;TM1;https://drive.google.com/file/d/1-TdkZ4TcEwbcTKhKMR_JuUW9YPkezbtA/view?usp=sharing
COMP6268;Algorithm&Programming;TM2;https://drive.google.com/file/d/1x3e21nqEiZRB3ai0O1v93-TVVZvDnVAN/view?usp=sharing
COMP6268;Algorithm&Programming;UAP;https://drive.google.com/file/d/1GGoCjrorPGHs93zREv3a4SLHzpIWJd8x/view?usp=sharing
COMP6481;DatabaseDesign;TM1;https://drive.google.com/file/d/1Yhbq5zSspHajactUw3T6xRDvuluYyWeJ/view?usp=sharing
COMP6481;DatabaseDesign;UAP;https://drive.google.com/file/d/1i_Zq_TqefZHhfzmpLqGjFuGrWZ_l6ZuM/view?usp=sharing
COMP6544;NetworkPenetrationTesting;TM1;https://drive.google.com/file/d/1G0BanXzX2GGgn6j6fZhrZYHhnqraB8iE/view?usp=sharing
COMP6544;NetworkPenetrationTesting;TM2;https://drive.google.com/file/d/1K2bstTyZWaN4a9BUWNBlsCe0fWqm0mF6/view?usp=sharing
COMP6548;ProgrammingforPenetrationTesting;TM1;https://drive.google.com/file/d/1z2USw61Vi9Hl64QkR-vjtsEPOMP2uZUX/view?usp=sharing
COMP6548;ProgrammingforPenetrationTesting;TM2;https://drive.google.com/file/d/1IM5k4aZJ9uCJyyqXsDsxVEroXZa06IRZ/view?usp=sharing
COMP6579;BigDataProcessing;TM1;https://drive.google.com/file/d/1LunFkHFcWnZJ0sTMU-cJ8ICrIg_QtNO9/view?usp=sharing
COMP6579;BigDataProcessing;UAP;https://drive.google.com/file/d/1iD0EWUIUFrmC8eeEuHLXebPxXjNmPSTM/view?usp=sharing
COMP6583;ComputerGraphics;PRY;https://drive.google.com/file/d/1uqH6cPrDXCVnsJ1KCusuBrJMJZ3fJ46g/view?usp=sharing
COMP6583;ComputerGraphics;TM1;https://drive.google.com/file/d/1tqmnpBpFUSvCMAuCCQqCen4q91BpD4qW/view?usp=sharing
COMP6584;NetworkandSystemProgramming;TM1;https://drive.google.com/file/d/1Eo0qHeSIugjgZ9Eq0OkLSFi2AUvVXDpx/view?usp=sharing
COMP6584;NetworkandSystemProgramming;TM2;https://drive.google.com/file/d/1X79RWWWy3xIegELoW_ArHzmn58aNyKYA/view?usp=sharing
COMP6590;GeographicalInformationSystem;TM1;https://drive.google.com/file/d/1Px8pVoAHzSEa4qBlJAA-_07dVS5bJ-rE/view?usp=sharing
COMP6590;GeographicalInformationSystem;UAP;https://drive.google.com/file/d/1-nN9pyXRioAqp1l0Qi1vm8nJ3YBwwSFo/view?usp=sharing
COMP6681;WebProgramming;PRY;https://drive.google.com/file/d/1mG5eLjuIx-4mzq6YoLNyTAckIxbijXjY/view?usp=sharing
COMP6683;IntroductiontoArtificialInteligence;PRY;https://drive.google.com/file/d/1yvp3w9oZcLFiqKJ9st7Coau2y4W6J4mo/view?usp=sharing
COMP6708;ObjectOrientedProgramming;TM1;https://drive.google.com/file/d/1xmI6gbxBZzc2UprIHL3hy9uGqC7beHzd/view?usp=sharing
